Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HomeGoals,AwayGoals,result,winner
19:45,Burnley,Luton,1,1,D,1,0,H,T Harrington,2,1,1,Burnley
12:30,Chelsea,Fulham,1,0,H,1,0,H,A Taylor,2,0,2,Chelsea
17:30,Newcastle,Man City,2,3,A,2,1,H,C Kavanagh,4,4,0,draw
14:00,Everton,Aston Villa,0,0,D,0,0,D,D Coote,0,0,0,draw
16:30,Man United,Tottenham,2,2,D,2,1,H,J Brooks,4,3,1,Man United
12:30,Arsenal,Crystal Palace,5,0,H,2,0,H,P Tierney,7,0,7,Arsenal
17:30,Brentford,Nott'm Forest,3,2,H,1,1,D,D England,4,3,1,Brentford
14:00,Sheffield United,West Ham,2,2,D,1,1,D,M Salisbury,3,3,0,draw
16:30,Bournemouth,Liverpool,0,4,A,0,0,D,A Madley,0,4,-4,Liverpool
19:45,Brighton,Wolves,0,0,D,0,0,D,C Pawson,0,0,0,draw
19:30,Nott'm Forest,Arsenal,1,2,A,0,0,D,S Hooper,1,2,-1,Arsenal
19:45,Fulham,Everton,0,0,D,0,0,D,T Bramall,0,0,0,draw
19:45,Luton,Brighton,4,0,H,3,0,H,R Jones,7,0,7,Luton
20:00,Crystal Palace,Sheffield United,3,2,H,2,2,D,T Harrington,5,4,1,Crystal Palace
20:15,Aston Villa,Newcastle,1,3,A,0,2,A,J Brooks,1,5,-4,Newcastle
19:30,Man City,Burnley,3,1,H,2,0,H,S Barrott,5,1,4,Man City
19:30,Tottenham,Brentford,3,2,H,0,1,A,D Coote,3,3,0,draw
20:15,Liverpool,Chelsea,4,1,H,2,0,H,P Tierney,6,1,5,Liverpool
19:30,West Ham,Bournemouth,1,1,D,0,1,A,T Robinson,1,2,-1,Bournemouth
20:15,Wolves,Man United,3,4,A,0,2,A,J Gillett,3,6,-3,Man United
12:30,Everton,Tottenham,2,2,D,1,2,A,M Oliver,3,4,-1,Tottenham
15:00,Brighton,Crystal Palace,4,1,H,3,0,H,S Hooper,7,1,6,Brighton
15:00,Burnley,Fulham,2,2,D,0,2,A,D Bond,2,4,-2,Fulham
15:00,Newcastle,Luton,4,4,D,2,2,D,T Bramall,6,6,0,draw
17:30,Sheffield United,Aston Villa,0,5,A,0,4,A,P Tierney,0,9,-9,Aston Villa
14:00,Bournemouth,Nott'm Forest,1,1,D,1,1,D,R Welch,2,2,0,draw
14:00,Chelsea,Wolves,2,4,A,1,2,A,T Robinson,3,6,-3,Wolves
14:00,Man United,West Ham,3,0,H,1,0,H,A Madley,4,0,4,Man United
16:30,Arsenal,Liverpool,3,1,H,1,1,D,A Taylor,4,2,2,Arsenal
20:00,Brentford,Man City,1,3,A,1,1,D,J Gillett,2,4,-2,Man City
12:30,Man City,Everton,2,0,H,0,0,D,J Brooks,2,0,2,Man City
15:00,Fulham,Bournemouth,3,1,H,2,0,H,D England,5,1,4,Fulham
15:00,Liverpool,Burnley,3,1,H,1,1,D,T Robinson,4,2,2,Liverpool
15:00,Luton,Sheffield United,1,3,A,0,2,A,C Kavanagh,1,5,-4,Sheffield United
15:00,Tottenham,Brighton,2,1,H,0,1,A,S Barrott,2,2,0,draw
15:00,Wolves,Brentford,0,2,A,0,1,A,S Hooper,0,3,-3,Brentford
17:30,Nott'm Forest,Newcastle,2,3,A,2,2,D,A Taylor,4,5,-1,Newcastle
14:00,West Ham,Arsenal,0,6,A,0,4,A,C Pawson,0,10,-10,Arsenal
16:30,Aston Villa,Man United,1,2,A,0,1,A,R Jones,1,3,-2,Man United
20:00,Crystal Palace,Chelsea,1,3,A,1,0,H,M Oliver,2,3,-1,Chelsea
12:30,Brentford,Liverpool,1,4,A,0,1,A,M Oliver,1,5,-4,Liverpool
15:00,Burnley,Arsenal,0,5,A,0,2,A,J Gillett,0,7,-7,Arsenal
15:00,Fulham,Aston Villa,1,2,A,0,1,A,L Smith,1,3,-2,Aston Villa
15:00,Newcastle,Bournemouth,2,2,D,0,0,D,M Salisbury,2,2,0,draw
15:00,Nott'm Forest,West Ham,2,0,H,1,0,H,T Bramall,3,0,3,Nott'm Forest
15:00,Tottenham,Wolves,1,2,A,0,1,A,A Taylor,1,3,-2,Wolves
17:30,Man City,Chelsea,1,1,D,0,1,A,A Madley,1,2,-1,Chelsea
14:00,Sheffield United,Brighton,0,5,A,0,2,A,S Attwell,0,7,-7,Brighton
16:30,Luton,Man United,1,2,A,1,2,A,D Coote,2,4,-2,Man United
20:00,Everton,Crystal Palace,1,1,D,0,0,D,P Tierney,1,1,0,draw
19:30,Man City,Brentford,1,0,H,0,0,D,D England,1,0,1,Man City
19:30,Liverpool,Luton,4,1,H,0,1,A,A Madley,4,2,2,Liverpool
15:00,Aston Villa,Nott'm Forest,4,2,H,3,1,H,S Barrott,7,3,4,Aston Villa
15:00,Brighton,Everton,1,1,D,0,0,D,T Harrington,1,1,0,draw
15:00,Crystal Palace,Burnley,3,0,H,0,0,D,L Smith,3,0,3,Crystal Palace
15:00,Man United,Fulham,1,2,A,0,0,D,M Oliver,1,2,-1,Fulham
17:30,Bournemouth,Man City,0,1,A,0,1,A,J Gillett,0,2,-2,Man City
20:00,Arsenal,Newcastle,4,1,H,2,0,H,P Tierney,6,1,5,Arsenal
13:30,Wolves,Sheffield United,1,0,H,1,0,H,D Bond,2,0,2,Wolves
20:00,West Ham,Brentford,4,2,H,2,1,H,S Hooper,6,3,3,West Ham
15:00,Brentford,Chelsea,2,2,D,0,1,A,J Gillett,2,3,-1,Chelsea
15:00,Everton,West Ham,1,3,A,0,0,D,C Pawson,1,3,-2,West Ham
15:00,Fulham,Brighton,3,0,H,2,0,H,S Hooper,5,0,5,Fulham
15:00,Newcastle,Wolves,3,0,H,2,0,H,T Robinson,5,0,5,Newcastle
15:00,Nott'm Forest,Liverpool,0,1,A,0,0,D,P Tierney,0,1,-1,Liverpool
15:00,Tottenham,Crystal Palace,3,1,H,0,0,D,J Brooks,3,1,2,Tottenham
17:30,Luton,Aston Villa,2,3,A,0,2,A,M Oliver,2,5,-3,Aston Villa
13:00,Burnley,Bournemouth,0,2,A,0,1,A,D Coote,0,3,-3,Bournemouth
15:30,Man City,Man United,3,1,H,0,1,A,A Madley,3,2,1,Man City
20:00,Sheffield United,Arsenal,0,6,A,0,5,A,S Barrott,0,11,-11,Arsenal
12:30,Man United,Everton,2,0,H,2,0,H,S Hooper,4,0,4,Man United
15:00,Bournemouth,Sheffield United,2,2,D,0,1,A,A Taylor,2,3,-1,Sheffield United
15:00,Crystal Palace,Luton,1,1,D,1,0,H,S Singh,2,1,1,Crystal Palace
15:00,Wolves,Fulham,2,1,H,0,0,D,T Harrington,2,1,1,Wolves
17:30,Arsenal,Brentford,2,1,H,1,1,D,R Jones,3,2,1,Arsenal
13:00,Aston Villa,Tottenham,0,4,A,0,0,D,C Kavanagh,0,4,-4,Tottenham
14:00,Brighton,Nott'm Forest,1,0,H,1,0,H,M Salisbury,2,0,2,Brighton
14:00,West Ham,Burnley,2,2,D,0,2,A,D England,2,4,-2,Burnley
15:45,Liverpool,Man City,1,1,D,0,1,A,M Oliver,1,2,-1,Man City
20:00,Chelsea,Newcastle,3,2,H,1,1,D,J Brooks,4,3,1,Chelsea
19:30,Bournemouth,Luton,4,3,H,0,3,A,S Allison,4,6,-2,Luton
15:00,Burnley,Brentford,2,1,H,1,0,H,D Bond,3,1,2,Burnley
15:00,Luton,Nott'm Forest,1,1,D,0,1,A,D England,1,2,-1,Nott'm Forest
17:30,Fulham,Tottenham,3,0,H,1,0,H,R Jones,4,0,4,Fulham
14:00,West Ham,Aston Villa,1,1,D,1,0,H,J Gillett,2,1,1,West Ham
12:30,Newcastle,West Ham,4,3,H,1,2,A,R Jones,5,5,0,draw
15:00,Bournemouth,Everton,2,1,H,0,0,D,S Barrott,2,1,1,Bournemouth
15:00,Chelsea,Burnley,2,2,D,1,0,H,D England,3,2,1,Chelsea
15:00,Nott'm Forest,Crystal Palace,1,1,D,0,1,A,C Kavanagh,1,2,-1,Crystal Palace
15:00,Sheffield United,Fulham,3,3,D,0,0,D,T Robinson,3,3,0,draw
15:00,Tottenham,Luton,2,1,H,0,1,A,J Gillett,2,2,0,draw
17:30,Aston Villa,Wolves,2,0,H,1,0,H,P Tierney,3,0,3,Aston Villa
20:00,Brentford,Man United,1,1,D,0,0,D,S Hooper,1,1,0,draw
14:00,Liverpool,Brighton,2,1,H,1,1,D,D Coote,3,2,1,Liverpool
16:30,Man City,Arsenal,0,0,D,0,0,D,A Taylor,0,0,0,draw
19:30,Newcastle,Everton,1,1,D,1,0,H,T Harrington,2,1,1,Newcastle
19:30,Nott'm Forest,Fulham,3,1,H,3,0,H,M Oliver,6,1,5,Nott'm Forest
19:45,Bournemouth,Crystal Palace,1,0,H,0,0,D,G Scott,1,0,1,Bournemouth
19:45,Burnley,Wolves,1,1,D,1,1,D,T Bramall,2,2,0,draw
20:15,West Ham,Tottenham,1,1,D,1,1,D,J Brooks,2,2,0,draw
19:30,Arsenal,Luton,2,0,H,2,0,H,C Pawson,4,0,4,Arsenal
19:30,Brentford,Brighton,0,0,D,0,0,D,A Madley,0,0,0,draw
20:15,Man City,Aston Villa,4,1,H,2,1,H,D England,6,2,4,Man City
19:30,Liverpool,Sheffield United,3,1,H,1,0,H,S Attwell,4,1,3,Liverpool
20:15,Chelsea,Man United,4,3,H,2,2,D,J Gillett,6,5,1,Chelsea
12:30,Crystal Palace,Man City,2,4,A,1,1,D,P Tierney,3,5,-2,Man City
